"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
500	500	0.9	1	0.19	"0.81 ( 0 )"	"15.93 ( 0.73 )"	"1.42 ( 0.1 )"	19.51	0.73	0.81	15.93	1.42	"lasso"
1000	500	0.9	0.5	0.31	"0.83 ( 0 )"	"11.96 ( 0.46 )"	"0.42 ( 0.06 )"	16.54	0.63	0.83	11.96	0.42	"lasso"
50	1000	0.9	20	0.08	"0.66 ( 0.01 )"	"8.02 ( 0.28 )"	"4.9 ( 0.07 )"	8.12	0.85	0.66	8.02	4.9	"lasso"
100	1000	0.9	10	0.18	"0.69 ( 0.01 )"	"5.85 ( 0.58 )"	"4.37 ( 0.07 )"	6.48	0.61	0.69	5.85	4.37	"lasso"
500	1000	0.9	2	0.16	"0.8 ( 0 )"	"18.7 ( 0.93 )"	"1.88 ( 0.1 )"	21.82	0.77	0.8	18.7	1.88	"lasso"
1000	1000	0.9	1	0.21	"0.83 ( 0 )"	"20.07 ( 0.72 )"	"0.41 ( 0.05 )"	24.66	0.75	0.83	20.07	0.41	"lasso"
50	50	0.1	1	0.13	"0.77 ( 0.01 )"	"13.02 ( 1.02 )"	"1.51 ( 0.11 )"	16.51	0.63	0.77	13.02	1.51	"elnet"
100	50	0.1	0.5	0.24	"0.85 ( 0.01 )"	"10.71 ( 0.62 )"	"0.56 ( 0.07 )"	15.15	0.57	0.85	10.71	0.56	"elnet"
500	50	0.1	0.1	0.41	"0.92 ( 0 )"	"7.43 ( 0.6 )"	"0.02 ( 0.01 )"	12.41	0.42	0.92	7.43	0.02	"elnet"
1000	50	0.1	0.05	0.39	"0.92 ( 0 )"	"7.82 ( 0.76 )"	"0 ( 0 )"	12.82	0.4	0.92	7.82	0	"elnet"
50	100	0.1	2	0.09	"0.73 ( 0.01 )"	"21.55 ( 1.94 )"	"1.64 ( 0.11 )"	24.91	0.73	0.73	21.55	1.64	"elnet"
100	100	0.1	1	0.18	"0.83 ( 0.01 )"	"15.59 ( 1.32 )"	"0.84 ( 0.1 )"	19.75	0.62	0.83	15.59	0.84	"elnet"
500	100	0.1	0.2	0.32	"0.92 ( 0 )"	"11.5 ( 0.9 )"	"0 ( 0 )"	16.5	0.54	0.92	11.5	0	"elnet"
1000	100	0.1	0.1	0.34	"0.92 ( 0 )"	"11.02 ( 1.05 )"	"0 ( 0 )"	16.02	0.49	0.92	11.02	0	"elnet"
50	500	0.1	10	0.03	"0.66 ( 0.01 )"	"58.7 ( 5.86 )"	"2.64 ( 0.12 )"	61.06	0.89	0.66	58.7	2.64	"elnet"
100	500	0.1	5	0.14	"0.78 ( 0.01 )"	"19.29 ( 1.92 )"	"1.76 ( 0.1 )"	22.53	0.68	0.78	19.29	1.76	"elnet"
500	500	0.1	1	0.26	"0.91 ( 0 )"	"17.05 ( 1.43 )"	"0 ( 0 )"	22.05	0.62	0.91	17.05	0	"elnet"
1000	500	0.1	0.5	0.29	"0.93 ( 0 )"	"15.14 ( 1.39 )"	"0 ( 0 )"	20.14	0.54	0.93	15.14	0	"elnet"
50	1000	0.1	20	0.02	"0.65 ( 0.01 )"	"85.97 ( 9 )"	"3.03 ( 0.13 )"	87.94	0.92	0.65	85.97	3.03	"elnet"
