"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
500	1000	"0.7"	2	0.23	"0.9 ( 0 )"	"20.2 ( 1.89 )"	"0.03 ( 0.02 )"	25.17	"0.62"	0.9	20.2	0.03
1000	1000	"0.7"	1	0.27	"0.91 ( 0 )"	"16.62 ( 1.81 )"	"0 ( 0 )"	21.62	"0.54"	0.91	16.62	0
50	50	"0.9"	1	0.14	"0.74 ( 0.01 )"	"12.38 ( 0.9 )"	"1.46 ( 0.1 )"	15.92	"0.63"	0.74	12.38	1.46
100	50	"0.9"	0.5	0.21	"0.84 ( 0.01 )"	"12.36 ( 0.84 )"	"0.46 ( 0.08 )"	16.9	"0.58"	0.84	12.36	0.46
500	50	"0.9"	0.1	0.39	"0.92 ( 0 )"	"7.89 ( 0.68 )"	"0 ( 0 )"	12.89	"0.42"	0.92	7.89	0
1000	50	"0.9"	0.05	0.41	"0.92 ( 0 )"	"7.38 ( 0.78 )"	"0 ( 0 )"	12.38	"0.38"	0.92	7.38	0
50	100	"0.9"	2	0.09	"0.7 ( 0.01 )"	"19.37 ( 1.75 )"	"2.08 ( 0.13 )"	22.29	"0.75"	0.7	19.37	2.08
100	100	"0.9"	1	0.2	"0.81 ( 0.01 )"	"14.28 ( 1.07 )"	"0.93 ( 0.09 )"	18.35	"0.61"	0.81	14.28	0.93
500	100	"0.9"	0.2	0.36	"0.92 ( 0 )"	"10.15 ( 0.82 )"	"0 ( 0 )"	15.15	"0.48"	0.92	10.15	0
1000	100	"0.9"	0.1	0.38	"0.93 ( 0 )"	"9.4 ( 1.07 )"	"0 ( 0 )"	14.4	"0.42"	0.93	9.4	0
50	500	"0.9"	10	0.02	"0.62 ( 0.01 )"	"62.39 ( 5.92 )"	"2.69 ( 0.14 )"	64.7	"0.9"	0.62	62.39	2.69
100	500	"0.9"	5	0.12	"0.74 ( 0.01 )"	"21.21 ( 2.91 )"	"2.02 ( 0.12 )"	24.19	"0.69"	0.74	21.21	2.02
500	500	"0.9"	1	0.28	"0.91 ( 0 )"	"15.52 ( 1.4 )"	"0 ( 0 )"	20.52	"0.57"	0.91	15.52	0
1000	500	"0.9"	0.5	0.29	"0.92 ( 0 )"	"14.84 ( 1.41 )"	"0 ( 0 )"	19.84	"0.56"	0.92	14.84	0
50	1000	"0.9"	20	0.02	"0.63 ( 0.01 )"	"78.65 ( 8.46 )"	"3.08 ( 0.12 )"	80.57	"0.92"	0.63	78.65	3.08
100	1000	"0.9"	10	0.06	"0.74 ( 0.01 )"	"43.94 ( 6.95 )"	"2.01 ( 0.11 )"	46.93	"0.79"	0.74	43.94	2.01
500	1000	"0.9"	2	0.25	"0.91 ( 0 )"	"18.95 ( 1.93 )"	"0 ( 0 )"	23.95	"0.6"	0.91	18.95	0
1000	1000	"0.9"	1	0.29	"0.92 ( 0 )"	"15.24 ( 1.68 )"	"0 ( 0 )"	20.24	"0.52"	0.92	15.24	0
