"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
500	100	"0.9"	0.2	0.25	"0.83 ( 0 )"	"16.33 ( 1.01 )"	"0.2 ( 0.06 )"	21.13	"0.67"	0.83	16.33	0.2
1000	100	"0.9"	0.1	0.32	"0.84 ( 0 )"	"13.82 ( 1.17 )"	"0.03 ( 0.02 )"	18.79	"0.6"	0.84	13.82	0.03
50	500	"0.9"	10	0.05	"0.66 ( 0.02 )"	"28.64 ( 3.14 )"	"4.13 ( 0.07 )"	29.51	"0.88"	0.66	28.64	4.13
100	500	"0.9"	5	0.07	"0.7 ( 0.01 )"	"25.71 ( 4.03 )"	"3.42 ( 0.1 )"	27.29	"0.78"	0.7	25.71	3.42
500	500	"0.9"	1	0.14	"0.81 ( 0 )"	"25.68 ( 1.61 )"	"1.07 ( 0.11 )"	29.61	"0.76"	0.81	25.68	1.07
1000	500	"0.9"	0.5	0.21	"0.83 ( 0 )"	"23.49 ( 1.26 )"	"0.15 ( 0.05 )"	28.34	"0.75"	0.83	23.49	0.15
50	1000	"0.9"	20	0.02	"0.65 ( 0.01 )"	"49.08 ( 6.86 )"	"4.29 ( 0.09 )"	49.79	"0.93"	0.65	49.08	4.29
100	1000	"0.9"	10	0.05	"0.66 ( 0.01 )"	"32.99 ( 5.22 )"	"3.81 ( 0.09 )"	34.18	"0.8"	0.66	32.99	3.81
500	1000	"0.9"	2	0.11	"0.8 ( 0 )"	"30.91 ( 2.22 )"	"1.52 ( 0.12 )"	34.39	"0.78"	0.8	30.91	1.52
1000	1000	"0.9"	1	0.14	"0.83 ( 0 )"	"35.66 ( 1.98 )"	"0.23 ( 0.06 )"	40.43	"0.82"	0.83	35.66	0.23
